imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
2,HARRIS,BRIEF,0.0151872,0.000945391,18,11,0.0161326
3,HARRIS,BRIEF,0.0164851,0.000400927,21,15,0.016886
4,HARRIS,BRIEF,0.0153417,0.00101223,26,20,0.016354
5,HARRIS,BRIEF,0.0273077,0.000511919,43,24,0.0278196
6,HARRIS,BRIEF,0.0158096,0.000959473,18,26,0.0167691
7,HARRIS,BRIEF,0.0188694,0.000966412,31,16,0.0198358
8,HARRIS,BRIEF,0.0146942,0.000422796,26,24,0.015117
9,HARRIS,BRIEF,0.0192192,0.00100571,34,23,0.0202249
,,,,,,,0.015117
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,FAST,BRIEF,0.00155295,0.00174921,152,119,0.00330216
2,FAST,BRIEF,0.00120718,0.000956736,150,130,0.00216391
3,FAST,BRIEF,0.00123741,0.000999049,155,118,0.00223646
4,FAST,BRIEF,0.00123967,0.000926452,149,126,0.00216613
5,FAST,BRIEF,0.00126265,0.000917949,149,108,0.0021806
6,FAST,BRIEF,0.00130457,0.000926409,156,123,0.00223098
7,FAST,BRIEF,0.00125882,0.000921173,150,131,0.00218
8,FAST,BRIEF,0.00154552,0.00103983,138,125,0.00258535
9,FAST,BRIEF,0.00125511,0.000889179,143,119,0.00214429
,,,,,,,0.00214429
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,BRISK,BRIEF,0.0421678,0.00142727,282,178,0.043595
2,BRISK,BRIEF,0.0410609,0.00145171,282,205,0.0425126
3,BRISK,BRIEF,0.0409671,0.00141128,277,185,0.0423784
4,BRISK,BRIEF,0.0418462,0.00147475,297,179,0.0433209
5,BRISK,BRIEF,0.0418294,0.00142825,279,183,0.0432577
6,BRISK,BRIEF,0.0409828,0.00144627,289,195,0.042429
7,BRISK,BRIEF,0.0403343,0.00141029,272,207,0.0417446
8,BRISK,BRIEF,0.0411675,0.0013707,266,189,0.0425382
9,BRISK,BRIEF,0.0440737,0.00135716,254,183,0.0454309
,,,,,,,0.0417446
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,ORB,BRIEF,0.0098189,0.000722066,102,49,0.010541
2,ORB,BRIEF,0.00892986,0.000847948,106,43,0.00977781
3,ORB,BRIEF,0.00858278,0.000763312,113,45,0.00934609
4,ORB,BRIEF,0.00879652,0.000786588,109,59,0.0095831
5,ORB,BRIEF,0.0109643,0.00100102,125,53,0.0119653
6,ORB,BRIEF,0.00866338,0.000864807,130,78,0.00952818
7,ORB,BRIEF,0.00920633,0.000849326,129,68,0.0100557
8,ORB,BRIEF,0.00863121,0.00100272,127,84,0.00963393
9,ORB,BRIEF,0.00881499,0.00113842,128,66,0.00995342
,,,,,,,0.00934609
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,AKAZE,BRIEF,0.062038,0.000943908,157,141,0.0629819
2,AKAZE,BRIEF,0.0616445,0.000953771,161,134,0.0625982
3,AKAZE,BRIEF,0.0636838,0.000910276,155,131,0.064594
4,AKAZE,BRIEF,0.0667044,0.000951622,163,130,0.0676561
5,AKAZE,BRIEF,0.0671353,0.000974813,164,134,0.0681101
6,AKAZE,BRIEF,0.0689751,0.00105105,173,146,0.0700262
7,AKAZE,BRIEF,0.0670318,0.0010039,175,150,0.0680357
8,AKAZE,BRIEF,0.0650584,0.00100192,177,148,0.0660603
9,AKAZE,BRIEF,0.0673346,0.00104649,179,152,0.0683811
,,,,,,,0.0625982
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,SIFT,BRIEF,0.095699,0.000889757,132,86,0.0965888
2,SIFT,BRIEF,0.0936643,0.000902106,124,78,0.0945664
3,SIFT,BRIEF,0.092641,0.00090716,137,76,0.0935482
4,SIFT,BRIEF,0.0951567,0.000912467,134,85,0.0960692
5,SIFT,BRIEF,0.0933254,0.000931933,140,69,0.0942573
6,SIFT,BRIEF,0.0925688,0.000910298,137,74,0.093479
7,SIFT,BRIEF,0.0909071,0.00093994,148,76,0.091847
8,SIFT,BRIEF,0.0951774,0.0010451,159,70,0.0962225
9,SIFT,BRIEF,0.0947948,0.000961102,137,88,0.0957559
,,,,,,,0.091847
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,SHITOMASI,ORB,0.0159148,0.00526404,118,104,0.0211788
2,SHITOMASI,ORB,0.0161249,0.00492932,123,103,0.0210543
3,SHITOMASI,ORB,0.014057,0.00492095,120,100,0.018978
4,SHITOMASI,ORB,0.0144731,0.00489803,120,102,0.0193711
5,SHITOMASI,ORB,0.0133305,0.00490922,113,103,0.0182397
6,SHITOMASI,ORB,0.0139034,0.00481167,114,98,0.0187151
7,SHITOMASI,ORB,0.0146249,0.00492835,123,98,0.0195532
8,SHITOMASI,ORB,0.0158182,0.0050899,111,102,0.0209081
9,SHITOMASI,ORB,0.013876,0.00491735,112,97,0.0187934
,,,,,,,0.0182397
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,HARRIS,ORB,0.0153416,0.00548578,14,12,0.0208274
2,HARRIS,ORB,0.014697,0.00474211,18,13,0.0194391
3,HARRIS,ORB,0.0143561,0.00479667,21,16,0.0191527
4,HARRIS,ORB,0.0152987,0.00478393,26,18,0.0200826
5,HARRIS,ORB,0.0273104,0.00487038,43,24,0.0321808
6,HARRIS,ORB,0.0137639,0.0047236,18,18,0.0184875
7,HARRIS,ORB,0.0159546,0.00480865,31,15,0.0207633
8,HARRIS,ORB,0.0149723,0.00457769,26,24,0.01955
9,HARRIS,ORB,0.0220168,0.00764614,34,20,0.029663
,,,,,,,0.0184875
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,FAST,ORB,0.00131173,0.00585411,152,122,0.00716584
2,FAST,ORB,0.00119239,0.00494317,150,122,0.00613556
3,FAST,ORB,0.00123347,0.004976,155,115,0.00620947
4,FAST,ORB,0.00161228,0.00577202,149,129,0.0073843
5,FAST,ORB,0.00132701,0.00763621,149,107,0.00896321
6,FAST,ORB,0.00124489,0.00507435,156,120,0.00631924
7,FAST,ORB,0.0012084,0.00500901,150,126,0.0062174
8,FAST,ORB,0.00125093,0.00492215,138,122,0.00617308
9,FAST,ORB,0.00125847,0.00506424,143,118,0.00632271
,,,,,,,0.00613556
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,BRISK,ORB,0.041997,0.016921,282,160,0.0589181
2,BRISK,ORB,0.0411771,0.0161376,282,171,0.0573146
3,BRISK,ORB,0.0422421,0.0171934,277,157,0.0594355
4,BRISK,ORB,0.0413086,0.0173639,297,170,0.0586725
5,BRISK,ORB,0.0420296,0.0160325,279,154,0.058062
6,BRISK,ORB,0.0409385,0.0171455,289,180,0.058084
7,BRISK,ORB,0.0403967,0.0164586,272,171,0.0568553
8,BRISK,ORB,0.0400964,0.0168244,266,175,0.0569208
9,BRISK,ORB,0.0431038,0.0172006,254,172,0.0603045
,,,,,,,0.0568553
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,ORB,ORB,0.0100123,0.0173104,102,65,0.0273226
2,ORB,ORB,0.0104313,0.0179592,106,69,0.0283905
3,ORB,ORB,0.00885634,0.0177992,113,71,0.0266555
4,ORB,ORB,0.00861925,0.0175979,109,85,0.0262172
5,ORB,ORB,0.00911339,0.0180521,125,91,0.0271655
6,ORB,ORB,0.00858262,0.0186186,130,101,0.0272012
7,ORB,ORB,0.0106166,0.0176368,129,95,0.0282534
8,ORB,ORB,0.00865922,0.0183096,127,93,0.0269688
9,ORB,ORB,0.00862491,0.0185711,128,91,0.027196
,,,,,,,0.0262172
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,AKAZE,ORB,0.0667977,0.0118651,157,130,0.0786628
2,AKAZE,ORB,0.0632983,0.0117911,161,129,0.0750894
3,AKAZE,ORB,0.0632796,0.0123859,155,128,0.0756655
4,AKAZE,ORB,0.0619506,0.012122,163,115,0.0740726
5,AKAZE,ORB,0.0676468,0.0128384,164,132,0.0804852
6,AKAZE,ORB,0.0648416,0.0120859,173,132,0.0769275
7,AKAZE,ORB,0.0669789,0.0127782,175,137,0.0797571
8,AKAZE,ORB,0.0635697,0.012059,177,137,0.0756288
9,AKAZE,ORB,0.0643473,0.0123216,179,146,0.0766689
,,,,,,,0.0740726
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,SHITOMASI,FREAK,0.016843,0.0467025,118,90,0.0635454
2,SHITOMASI,FREAK,0.0162891,0.0442576,123,88,0.0605467
3,SHITOMASI,FREAK,0.0130766,0.0448051,120,87,0.0578817
4,SHITOMASI,FREAK,0.0122291,0.0443843,120,89,0.0566134
5,SHITOMASI,FREAK,0.012194,0.0446134,113,83,0.0568074
6,SHITOMASI,FREAK,0.0122035,0.0458265,114,78,0.05803
7,SHITOMASI,FREAK,0.0147224,0.0469653,123,81,0.0616876
8,SHITOMASI,FREAK,0.015689,0.0444438,111,86,0.0601328
9,SHITOMASI,FREAK,0.0148577,0.0467288,112,84,0.0615865
,,,,,,,0.0566134
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,HARRIS,FREAK,0.0144206,0.0453572,14,13,0.0597779
2,HARRIS,FREAK,0.0149611,0.0445775,18,13,0.0595387
3,HARRIS,FREAK,0.012991,0.0450564,21,15,0.0580474
4,HARRIS,FREAK,0.0134479,0.0434989,26,15,0.0569468
5,HARRIS,FREAK,0.0257638,0.0441851,43,17,0.0699489
6,HARRIS,FREAK,0.0124968,0.0439108,18,20,0.0564076
7,HARRIS,FREAK,0.0147798,0.0436127,31,14,0.0583925
8,HARRIS,FREAK,0.013616,0.0437023,26,21,0.0573183
9,HARRIS,FREAK,0.0181856,0.0448409,34,18,0.0630265
,,,,,,,0.0564076
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,FAST,FREAK,0.0015377,0.0500288,152,97,0.0515665
2,FAST,FREAK,0.00170857,0.0529027,150,98,0.0546113
3,FAST,FREAK,0.00125753,0.04538,155,94,0.0466375
4,FAST,FREAK,0.00134526,0.0492856,149,99,0.0506309
5,FAST,FREAK,0.00247339,0.0456415,149,88,0.0481149
6,FAST,FREAK,0.0012958,0.0441478,156,99,0.0454436
7,FAST,FREAK,0.00140986,0.0506932,150,104,0.0521031
8,FAST,FREAK,0.00130221,0.0448063,138,99,0.0461085
9,FAST,FREAK,0.00134693,0.0451436,143,103,0.0464905
,,,,,,,0.0454436
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,BRISK,FREAK,0.0434046,0.0499511,282,160,0.0933557
2,BRISK,FREAK,0.0432181,0.0484207,282,178,0.0916388
